802978;1265268231109253069
674005;6786472874629952029
803005;14026186463665202309
802999;18047332757496295325
850809;3872863446477434373
705554;9228387370452701683
187347;13318138519077670284
1000589;7319346479580341726
201754;4298246893349144893
970101;9868709828090178136
371045;885437332050630536
21353;3280519285314025147
73321;13207821263554464548
639735;15635953625510515962
303386;8049398090486337961
401407;7758130651584914308
793611;9390442522726398866
927752;6407117449668353567
1105919;2617374487781615041
0;10660652434190618804
